"Formatted ID","Name","Feature","Iteration","Tipo","Task Estimate Total","Blocked","Dependencies","Tags","Sistema Impactado","Abertura Indevida","Acceptance Criterias","Accepted Date","Task Actual Total","Backend Scope Percentage","Blocked Category","Classificação","Display Color","Created By","Creation Date","Defect Status","Defects","Description","Direct Children Count","Discussion","Expedite","Flow State","FrontEnd Scope Percentage","HasParent","In Progress Date","Last Build","Last Run","Last Update Date","Milestones","Notes","Owner","Parent","Plan Estimate","Portfolio Item","Project","Ready","Releasable Category","Release","Schedule State","ServiceNow ID","ServiceNow Sys ID","Task Status","Test Case Status","Task Remaining Total","Unfinished"
"US99048","[SigaLoja] - Criar monitor de Integração que analise as rotinas de integração de RFs no Sigaloja","Feature FE6446: [SigaLoja] - Cadastro de Cliente e Fornecedor","PI11.5","User Story","0.0","False","0","","SIGALOJA","False","","","0.0","","","Adição / Melhoria de nova funcionalidade","#21a2e0","Fabio Fumio Wada","12/05/2020 09:07 AM BRT","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","EU COMO Coordenador de Lojas QUERO/PRECISO ter a visibilidade que todos os RF cadastrados no RM encontram-se disponíveis no SL PARA permitir a venda VEF e vendas identificadas","0","0","False","Defined","","False","","","","12/05/2020 09:07 AM BRT","","Alunos com Status: Aprovado, Cursando, Matrícula Solicitada, Pré Matrícula, Reprovado, Reserva de Vaga, Transferido e Transferido entre filiais sejam integrados com sucesso no SL, caso a integração não ocorra identificar o CPF do RF, nome, RA do aluno, nome, turma e erro que levou a não integração.","Fabio Fumio Wada","","2.0","Feature FE6446: [SigaLoja] - Cadastro de Cliente e Fornecedor","RPA","False","","PI11","Defined","","","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","False"
"US99047","[SigaLoja] - Habilitação do processo de transferencia de mercadorias entre filiais","Feature FE6445: [SigaLoja] - Cadastro de Produtos","PI11.5","User Story","0.0","False","0","","SIGALOJA","False","Processo de transferencia entre filiais parametrizado e funcional. /// Definição escopo da escola e escopo time fiscal. /// Criação de Manual para treinamento para coligadas que realizarão este processo: pH, Motivo, Integrado, Lato Sensu. /// Verificação de campos que podem ser preenchidos de forma automática pelo o sistema (dados de PC e tributos da NF por exemplo, pois usuário tem dificuldade de obter os dados da NF de entrada)/// Abertura de Chamado realizada pela equipe Fiscal CKS (Sérgio). Nº REQ0040011 /// Aparentemente NF de entrada está alimentando o SL. A NF de Saída é que não está alimentando.","","0.0","","","Adição / Melhoria de nova funcionalidade","#21a2e0","Fabio Fumio Wada","12/05/2020 09:03 AM BRT","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","EU COMO Coordenador de LojasQUERO/PRECISO ocorra a parametrização do processo de transferencia de estoque entre filiaisPARA adequação dos estoques as necessidades das escolas","0","0","False","Defined","","False","","","","12/05/2020 09:04 AM BRT","","","Fabio Fumio Wada","","3.0","Feature FE6445: [SigaLoja] - Cadastro de Produtos","RPA","False","","PI11","Defined","","","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","False"
"US99045","[SigaLoja] - Criar layout amigável para cadastro de clientes no SL","Feature FE6446: [SigaLoja] - Cadastro de Cliente e Fornecedor","PI11.5","User Story","0.0","False","0","","SIGALOJA","False","Dado que o cadastro está consistente, criar um layout amigável para cadastro de clientes no SL","","0.0","","","Adição / Melhoria de nova funcionalidade","#21a2e0","Fabio Fumio Wada","12/05/2020 09:01 AM BRT","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","EU COMO Operações Escolares QUERO/PRECISO Um layout amigável para cadastro de clientes no SL PARA facilitar a operação do usuário das escolas.","0","0","False","Defined","","False","","","","12/05/2020 09:01 AM BRT","","","Fabio Fumio Wada","","2.0","Feature FE6446: [SigaLoja] - Cadastro de Cliente e Fornecedor","RPA","False","","PI11","Defined","","","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","False"
"US98816","[Integração CELV] - Homologação da Integração - Nova versão TOTVS\RM","Feature FE6426: [SigaLoja] - Upgrade de Versão","PI11.2","User Story","0.0","False","0","","TOTVS RM","False","Acceptance Criteria'- Critério de Aceitação   - xxxx   - xxxx   - xxxx   - ...","","0.0","","","Adição / Melhoria de nova funcionalidade","#21a2e0","Fabio Fumio Wada","11/05/2020 05:40 PM BRT","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","EU COMO <Scrum Master>QUERO/PRECISO < que seja homologada a integração do CELV\Phidelis em ambiente de homologação da nova versão do TOTVS\RM>PARA < validar a integração e liberar o ambiente para conversão oficial > ","0","0","False","Defined","","False","","","","11/05/2020 05:40 PM BRT","","","Fabio Fumio Wada","","1.0","Feature FE6426: [SigaLoja] - Upgrade de Versão","RPA","False","","PI11","Defined","","","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","False"
"US100103","[Colégio Visão] - Exploratória de integração com o sistema Genera da Integração - Nova versão TOTVS\RM","Feature FE6689: [Colégio Visão] - Kickoff e Levantamento","PI11.2","User Story","0.0","False","0","","TOTVS RM","False","Acceptance Criteria'- Critério de Aceitação   - xxxx   - xxxx   - xxxx   - ...","","0.0","","","Adição / Melhoria de nova funcionalidade","#21a2e0","Fabio Fumio Wada","13/05/2020 09:45 AM BRT","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","EU COMO <Scrum Master>QUERO/PRECISO < que seja iniciado os estudos do sistema Genera para integração com o TOTVS\RM>PARA < deixarmos a integração mapeada para novos desenvolvimentos > ","0","0","False","Defined","","False","","","","13/05/2020 09:48 AM BRT","","","Fabio Fumio Wada","","1.0","Feature FE6689: [Colégio Visão] - Kickoff e Levantamento","RPA","False","","PI11","Defined","","","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","False"
"US100040","[SigaLoja] - Homologação\Estudo da nova versão SIGALOJA","Feature FE6426: [SigaLoja] - Upgrade de Versão","PI11.2","User Story","0.0","False","0","","TOTVS RM","False","Acceptance Criteria'- Critério de Aceitação   - xxxx   - xxxx   - xxxx   - ...","","0.0","","","Adição / Melhoria de nova funcionalidade","#21a2e0","Fabio Fumio Wada","13/05/2020 08:57 AM BRT","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","EU COMO <Scrum Master>QUERO/PRECISO < que seja homologada a nova versão do SigaLoja>PARA < validar a integração e liberar o ambiente para conversão oficial > ","0","0","False","Defined","","False","","","","13/05/2020 09:05 AM BRT","","Adicionar história\capacity para o Carlos homologar\estudar a conversão do SigaLoja de versão (Solicitado por Volpati)","Fabio Fumio Wada","","1.0","Feature FE6426: [SigaLoja] - Upgrade de Versão","RPA","False","","PI11","Defined","","","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","False"
"US101081","[SigaLoja] - Desenvolvimento de Testes Unitários","Feature FE6760: [SigaLoja] - Desenvolver os testes unitários de script automatizados da REORG Sigaloja","PI11.2","User Story","0.0","False","0","","TOTVS RM","False","Acceptance Criteria'- Critério de Aceitação   - xxxx   - xxxx   - xxxx   - ...","","0.0","","","Adição / Melhoria de nova funcionalidade","#21a2e0","Fabio Fumio Wada","15/05/2020 08:58 AM BRT","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","EU COMO <Scrum Master>QUERO/PRECISO < que seja desenvolvido os testes unitários de script automatizados da REORG Sigaloja>PARA < validar a integração e liberar o ambiente para conversão oficial > ","0","0","False","Defined","","False","","","","15/05/2020 09:00 AM BRT","","Adicionar história\capacity para o Carlos homologar\estudar a conversão do SigaLoja de versão (Solicitado por Volpati)","Fabio Fumio Wada","","1.0","Feature FE6760: [SigaLoja] - Desenvolver os testes unitários de script automatizados da REORG Sigaloja","RPA","False","","PI11","Defined","","","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","False"
"US96604","[SigaLoja] - Apoiar no Processo de Reconhecimento de Receita das Vendas Pendentes de 2019 do pH","Feature FE6430: [SigaLoja] - Apoio no processo de reconhecimento de vendas (Ano 2019)","PI11.1","User Story","0.0","False","0","Revisado (SM)","SIGALOJA","False","Verificar se notas filhas e mães estão convergindo (iguais) e integradas com o RM /// Se necessário integrar e gerar carga de dados para finalizar esta apuração. /// Apoio a equipe fiscal para a emissão das notas fiscais diretamente no RM referentes a vendas que se encontram fora do sistema (mercadorias não inventariadas). /// Apoio a equipe contábil para a regularização dos estoques / custeio / receita após a emissão dessas notas, de forma que as mesmas não impactem no estoque atual disponível para revenda da escola (Estas vendas não deverão reduzir o estoque disponível em sistema).","","0.0","","","Redução de débito técnico","#21a2e0","Fabio Fumio Wada","05/05/2020 09:01 AM BRT","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","EU COMO Coordenador de Lojas QUERO/PRECISO que lancemos as vendas / entregas que estão fora do sistema diretamente no RM PARA que haja a reconhecimento da receita e ajustes contábeis necessários e regularização do resultado de 2019 do pH.","0","0","False","Defined","","False","","","","15/05/2020 10:34 AM BRT","","Curiosidade: imagimo que por aum motivo qualquer estas Vendas tenham sido realizadas sem as respectivas emissões de NFs. Qual o grau de confiabilidade do documento aonde estas vendas estão relacionadas ? // Isso deverá ser feito antes de qualquer ajuste de estoque nesta coligada ou deverá ser criado um novo CFOP com """"baixa estoque"""" desligado // Essas vendas poderão constar somente do RM (""""diretamente no RM)?","Carlos Azevedo","","3.0","Feature FE6430: [SigaLoja] - Apoio no processo de reconhecimento de vendas (Ano 2019)","RPA","True","","PI11","Defined","","","3 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","False"
"US96603","[SigaLoja] - Criação de planilha net no RM que faça comparação entre SL e RM: Estoque + Preço + Cadastro (?)","Feature FE6448: [SigaLoja] - Relatórios","PI11.4","User Story","0.0","False","0","Revisado (SM)","SIGALOJA","False","Planilha Net do RM onde possamos comparar os dados dos cadastros (?), preços de venda e estoques disponíveis no RM vs cadastros (?), preços de venda e estoques disponíveis no SL por coligada e filial.","","0.0","","","Adição / Melhoria de nova funcionalidade","#21a2e0","Fabio Fumio Wada","05/05/2020 08:58 AM BRT","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","EU COMO Coordenador de Lojas QUERO/PRECISO Criação de planilha net no RM que faça comparação entre os dados do SL e do RM: Estoque + Preço + Cadastro (?) PARA permitir análises gerenciais e homologações de estoque de forma completa","0","0","False","Defined","","False","","","","12/05/2020 08:37 AM BRT","","","Fabio Fumio Wada","","2.0","Feature FE6448: [SigaLoja] - Relatórios","RPA","False","","PI11","Defined","","","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","False"
"US96602","[SigaLoja] - Automatizar processo integração de estoque (RM e Sigaloja)","Feature FE6445: [SigaLoja] - Cadastro de Produtos","PI11.2","User Story","0.0","False","0","Dependencia;Revisado (SM)","SIGALOJA","False","Eliminar o processo de fórmula visual na integração dos estoques do SL com o RM em todas as movimentações de estoque (1.2.12, 1.2.13, 4.1.01, 4.1.02, 4.1.03, 3.1.01) /// Criar rotina automática para integrar estoques e validar que a mesma está funcional. ","","0.0","","","Automatização de operação","#21a2e0","Fabio Fumio Wada","05/05/2020 08:32 AM BRT","0 Submitted, 0 Open, 0 Fixed, 0 Closed, 0 Blocked","0","EU COMO Operações Escolares QUERO/PRECISO Automatizar o processo de integração do estoque do RM para o SIGALOJA PARA otimizar a alimentação de estoque e garantir a execução das vendas ","0","0","False","Defined","","False","","","","08/05/2020 09:43 AM BRT","","","Fabio Fumio Wada","","2.0","Feature FE6445: [SigaLoja] - Cadastro de Produtos","RPA","False","","PI11","Defined","","","0 Defined, 0 In-Progress, 0 Completed, 0 Blocked","0 None Run, 0 Blocked, 0 Error, 0 Fail, 0 Inconclusive, 0 Pass","0.0","False"
